Year,region,fert_rate
1960,East Asia & Pacific,5.979064516
1961,East Asia & Pacific,5.945322581
1962,East Asia & Pacific,5.901322581
1963,East Asia & Pacific,5.842817204
1964,East Asia & Pacific,5.761989247
1965,East Asia & Pacific,5.672354839
1966,East Asia & Pacific,5.560645161
1967,East Asia & Pacific,5.47
1968,East Asia & Pacific,5.373580645
1969,East Asia & Pacific,5.272387097
1970,East Asia & Pacific,5.179096774
1971,East Asia & Pacific,5.109248848
1972,East Asia & Pacific,4.993304147
1973,East Asia & Pacific,4.872262673
1974,East Asia & Pacific,4.739898618
1975,East Asia & Pacific,4.598695853
1976,East Asia & Pacific,4.486751152
1977,East Asia & Pacific,4.389483871
1978,East Asia & Pacific,4.299645161
1979,East Asia & Pacific,4.244354839
1980,East Asia & Pacific,4.185193548
1981,East Asia & Pacific,4.132935484
1982,East Asia & Pacific,4.069032258
1983,East Asia & Pacific,3.997516129
1984,East Asia & Pacific,3.922
1985,East Asia & Pacific,3.854258065
1986,East Asia & Pacific,3.782225806
1987,East Asia & Pacific,3.79009375
1988,East Asia & Pacific,3.665129032
1989,East Asia & Pacific,3.581064516
1990,East Asia & Pacific,3.5035625
1991,East Asia & Pacific,3.455129032
1992,East Asia & Pacific,3.385322581
1993,East Asia & Pacific,3.307903226
1994,East Asia & Pacific,3.237774194
1995,East Asia & Pacific,3.13984375
1996,East Asia & Pacific,3.103741935
1997,East Asia & Pacific,3.044258065
1998,East Asia & Pacific,2.97816129
1999,East Asia & Pacific,3.016625
2000,East Asia & Pacific,2.86740625
2001,East Asia & Pacific,2.841387097
2002,East Asia & Pacific,2.795419355
2003,East Asia & Pacific,2.756064516
2004,East Asia & Pacific,2.723096774
2005,East Asia & Pacific,2.726484848
2006,East Asia & Pacific,2.73278125
2007,East Asia & Pacific,2.7173125
2008,East Asia & Pacific,2.636225806
2009,East Asia & Pacific,2.607483871
2010,East Asia & Pacific,2.589483871
2011,East Asia & Pacific,2.616
2012,East Asia & Pacific,2.5523125
2013,East Asia & Pacific,2.524612903
2014,East Asia & Pacific,2.506870968
2015,East Asia & Pacific,2.47784375
2016,East Asia & Pacific,2.457806452
2017,East Asia & Pacific,2.423483871
2018,East Asia & Pacific,2.394322581
1960,Europe & Central Asia,3.327458333
1961,Europe & Central Asia,3.303204082
1962,Europe & Central Asia,3.2923125
1963,Europe & Central Asia,3.302404255
1964,Europe & Central Asia,3.258791667
1965,Europe & Central Asia,3.195875
1966,Europe & Central Asia,3.139125
1967,Europe & Central Asia,3.109395833
1968,Europe & Central Asia,3.043666667
1969,Europe & Central Asia,2.987458333
1970,Europe & Central Asia,2.936755102
1971,Europe & Central Asia,2.88452
1972,Europe & Central Asia,2.832571429
1973,Europe & Central Asia,2.759265306
1974,Europe & Central Asia,2.726020408
1975,Europe & Central Asia,2.65134
1976,Europe & Central Asia,2.5886
1977,Europe & Central Asia,2.52706
1978,Europe & Central Asia,2.4758
1979,Europe & Central Asia,2.44272
1980,Europe & Central Asia,2.40402
1981,Europe & Central Asia,2.398038462
1982,Europe & Central Asia,2.382627451
1983,Europe & Central Asia,2.344529412
1984,Europe & Central Asia,2.331039216
1985,Europe & Central Asia,2.300588235
1986,Europe & Central Asia,2.288568627
1987,Europe & Central Asia,2.272482353
1988,Europe & Central Asia,2.268745098
1989,Europe & Central Asia,2.218254902
1990,Europe & Central Asia,2.195039216
1991,Europe & Central Asia,2.132692308
1992,Europe & Central Asia,2.074156863
1993,Europe & Central Asia,1.999941176
1994,Europe & Central Asia,1.926865385
1995,Europe & Central Asia,1.876596154
1996,Europe & Central Asia,1.836098039
1997,Europe & Central Asia,1.7855
1998,Europe & Central Asia,1.744588235
1999,Europe & Central Asia,1.727862745
2000,Europe & Central Asia,1.721320755
2001,Europe & Central Asia,1.683207547
2002,Europe & Central Asia,1.681462963
2003,Europe & Central Asia,1.673641509
2004,Europe & Central Asia,1.702084906
2005,Europe & Central Asia,1.703830189
2006,Europe & Central Asia,1.711796296
2007,Europe & Central Asia,1.735703704
2008,Europe & Central Asia,1.776685185
2009,Europe & Central Asia,1.779203704
2010,Europe & Central Asia,1.77562963
2011,Europe & Central Asia,1.758660377
2012,Europe & Central Asia,1.7585
2013,Europe & Central Asia,1.749981132
2014,Europe & Central Asia,1.771490566
2015,Europe & Central Asia,1.762056604
2016,Europe & Central Asia,1.771660377
2017,Europe & Central Asia,1.743660377
2018,Europe & Central Asia,1.738811321
1960,Latin America & Caribbean,5.929911765
1961,Latin America & Caribbean,5.903088235
1962,Latin America & Caribbean,5.860617647
1963,Latin America & Caribbean,5.801647059
1964,Latin America & Caribbean,5.727147059
1965,Latin America & Caribbean,5.638529412
1966,Latin America & Caribbean,5.538764706
1967,Latin America & Caribbean,5.431764706
1968,Latin America & Caribbean,5.321441176
1969,Latin America & Caribbean,5.209911765
1970,Latin America & Caribbean,5.098941176
1971,Latin America & Caribbean,4.988382353
1972,Latin America & Caribbean,4.856277778
1973,Latin America & Caribbean,4.765676471
1974,Latin America & Caribbean,4.654794118
1975,Latin America & Caribbean,4.546205882
1976,Latin America & Caribbean,4.441529412
