region,Year,life_expectancy
East Asia & Pacific,1960,54.64389772
East Asia & Pacific,1961,55.12059638
East Asia & Pacific,1962,55.59727695
East Asia & Pacific,1963,56.10197797
East Asia & Pacific,1964,56.59660582
East Asia & Pacific,1965,57.07988277
East Asia & Pacific,1966,57.58651534
East Asia & Pacific,1967,58.08248151
East Asia & Pacific,1968,58.53397482
East Asia & Pacific,1969,58.97454445
East Asia & Pacific,1970,59.37298584
East Asia & Pacific,1971,59.71976239
East Asia & Pacific,1972,59.99354839
East Asia & Pacific,1973,60.22602203
East Asia & Pacific,1974,60.45234304
East Asia & Pacific,1975,60.69212982
East Asia & Pacific,1976,60.92100944
East Asia & Pacific,1977,61.23755232
East Asia & Pacific,1978,61.63929426
East Asia & Pacific,1979,62.09653501
East Asia & Pacific,1980,62.62999685
East Asia & Pacific,1981,63.23689457
East Asia & Pacific,1982,63.80015814
East Asia & Pacific,1983,64.35660504
East Asia & Pacific,1984,64.85596617
East Asia & Pacific,1985,65.29630291
East Asia & Pacific,1986,65.68973485
East Asia & Pacific,1987,66.22643674
East Asia & Pacific,1988,66.33329898
East Asia & Pacific,1989,66.61573722
East Asia & Pacific,1990,67.01625991
East Asia & Pacific,1991,67.23274823
East Asia & Pacific,1992,67.49054603
East Asia & Pacific,1993,67.733631
East Asia & Pacific,1994,67.93795515
East Asia & Pacific,1995,68.28066235
East Asia & Pacific,1996,68.44073643
East Asia & Pacific,1997,68.71614949
East Asia & Pacific,1998,69.08250748
East Asia & Pacific,1999,69.28612729
East Asia & Pacific,2000,69.6248167
East Asia & Pacific,2001,70.06546499
East Asia & Pacific,2002,70.38592526
East Asia & Pacific,2003,70.71221951
East Asia & Pacific,2004,71.05049567
East Asia & Pacific,2005,71.28099466
East Asia & Pacific,2006,71.67119906
East Asia & Pacific,2007,71.9558332
East Asia & Pacific,2008,72.22704249
East Asia & Pacific,2009,72.52760189
East Asia & Pacific,2010,72.77593392
East Asia & Pacific,2011,73.00732907
East Asia & Pacific,2012,73.27312029
East Asia & Pacific,2013,73.52738839
East Asia & Pacific,2014,73.76077795
East Asia & Pacific,2015,73.98088312
East Asia & Pacific,2016,74.16559286
East Asia & Pacific,2017,74.3731133
East Asia & Pacific,2018,74.55162549
Europe & Central Asia,1960,66.1566383
Europe & Central Asia,1961,66.56694344
Europe & Central Asia,1962,66.67191697
Europe & Central Asia,1963,66.9895314
Europe & Central Asia,1964,67.42486871
Europe & Central Asia,1965,67.6076383
Europe & Central Asia,1966,67.86785781
Europe & Central Asia,1967,68.05844473
Europe & Central Asia,1968,68.20156409
Europe & Central Asia,1969,68.27118993
Europe & Central Asia,1970,68.54643747
Europe & Central Asia,1971,68.71518267
Europe & Central Asia,1972,68.99077374
Europe & Central Asia,1973,69.27981606
Europe & Central Asia,1974,69.37646757
Europe & Central Asia,1975,69.51920706
Europe & Central Asia,1976,69.71606694
Europe & Central Asia,1977,69.93177686
Europe & Central Asia,1978,70.01896516
Europe & Central Asia,1979,70.05815955
